"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)"
0,4.7342758178710938,9.345794677734375
0.10000000000000001,4.7368316650390625,
0.20000000000000001,4.7904815673828125,
0.29999999999999999,4.8875732421875,
0.40000000000000002,4.9540023803710938,
0.5,5.0127716064453125,
0.59999999999999998,5.05364990234375,
0.69999999999999996,4.9923324584960938,
0.80000000000000004,4.8952407836914062,
0.90000000000000002,4.8466949462890625,
1,4.731719970703125,
1.1000000000000001,4.59375,
1.2,4.5349807739257812,
1.3,4.529876708984375,
1.3999999999999999,4.6141891479492188,
1.5,4.713836669921875,
1.6000000000000001,4.6090774536132812,
1.7,4.3331375122070312,
1.8,4.0623092651367188,
1.8999999999999999,3.80169677734375,
2,3.5615310668945312,
2.1000000000000001,3.3622360229492188,
2.2000000000000002,3.2012710571289062,
2.2999999999999998,3.0862960815429688,
2.3999999999999999,3.0173110961914062,
2.5,2.973876953125,
2.6000000000000001,2.8972320556640625,
2.7000000000000002,2.8154678344726562,
2.7999999999999998,2.7771453857421875,
2.8999999999999999,2.7464828491210938,
3,2.726043701171875,
3.1000000000000001,2.7107162475585938,
3.2000000000000002,2.690277099609375,
3.2999999999999998,2.6749420166015625,
3.3999999999999999,2.669830322265625,
3.5,2.6749420166015625,
3.6000000000000001,2.7004928588867188,
3.7000000000000002,2.7285995483398438,
3.7999999999999998,2.7388153076171875,
3.8999999999999999,2.7848052978515625,
4,2.892120361328125,
4.0999999999999996,3.0275344848632812,
4.2000000000000002,3.1782760620117188,
4.2999999999999998,3.3545761108398438,
4.4000000000000004,3.5794143676757812,
4.5,3.8451309204101562,
4.5999999999999996,4.1568450927734375,
4.7000000000000002,4.50177001953125,
4.7999999999999998,4.8262557983398438,
4.9000000000000004,5.08941650390625,
5,5.3372573852539062,
5.0999999999999996,5.6080856323242188,
5.2000000000000002,5.8814697265625,
5.2999999999999998,6.1522979736328125,
5.4000000000000004,6.4818954467773438,
5.5,6.9136886596679688,
5.5999999999999996,7.4502410888671875,
5.7000000000000002,8.0455551147460938,
5.7999999999999998,8.4875717163085938,
5.9000000000000004,8.6791915893554688,
6,8.531005859375,
6.0999999999999996,7.9433517456054688,
6.2000000000000002,7.342926025390625,
6.2999999999999998,7.013336181640625,
6.4000000000000004,6.8319320678710938,
6.5,6.7041778564453125,
6.5999999999999996,6.5764312744140625,
6.7000000000000002,6.405242919921875,
6.7999999999999998,6.1727371215820312,
6.9000000000000004,5.9427871704101562,
