Height,Position,Distance (m),Time,bpm,sensor-bpm,deviation,percent-error
1,Front,0.6,0.0,6.629834175,5.411524821571746,-1.2183093534282543,-0.18376166300241653
1,Front,0.6,10.0,5.928853989,5.330082684788922,-0.5987713042110778,-0.1009927559899431
1,Front,0.6,20.0,5.964214325,5.167732758607693,-0.7964815663923073,-0.1335434179576213
1,Front,0.6,30.0,5.928853989,5.631630853190134,-0.29722313580986626,-0.050131633594167474
1,Front,0.6,40.0,6.10997963,6.6322639901062965,0.5222843601062968,0.08548054031831474
1,Front,0.6,50.0,6.072874546,5.953761167468088,-0.11911337853191206,-0.019614002830071316
1,Front,0.6,60.0,6.024096489,5.672914442953372,-0.3511820460466275,-0.05829621864256091
1,Front,0.6,70.0,6.21118021,6.200735149043486,-0.010445060956514318,-0.0016816547907751525
1,Front,0.6,80.0,6.030150414,5.960597849208315,-0.06955256479168526,-0.011534134311178602
1,Front,0.6,90.0,5.88812542,5.653115188213408,-0.23501023178659164,-0.03991257234235198
1,Front,0.6,100.0,5.97014904,5.06625354450532,-0.9038954954946803,-0.15140250091556848
1,Front,0.6,110.0,5.830904007,5.780668532471658,-0.05023547452834176,-0.008615383561114036
1,Front,0.6,120.0,5.976095676,5.7410608666436485,-0.23503480935635146,-0.039329157714166334
1,Front,0.6,130.0,6.224066734,5.979952112585681,-0.24411462141431883,-0.0392210803397724
1,Front,0.6,140.0,5.97014904,6.009602329118524,0.03945328911852375,0.006608426163934385
1,Front,0.6,150.0,6.066733837,6.214881368527893,0.14814753152789262,0.024419652404126496
1,Front,0.6,160.0,6.160163879,5.885884245902306,-0.2742796330976933,-0.04452472993984992
1,Front,0.6,170.0,5.836575985,5.7607136683168605,-0.07586231668313914,-0.012997743347830182
1,Front,0.6,180.0,6.147541046,6.4814482241199824,0.3339071781199827,0.05431556708958373
1,Front,0.6,190.0,6.166495323,5.70997287896385,-0.4565224440361506,-0.07403272363369805
1,Front,0.6,200.0,5.97014904,6.237934371271544,0.26778533127154436,0.044854044593758476
1,Front,0.6,210.0,6.060606003,5.959729734840597,-0.10087626815940354,-0.016644584404508358
1,Front,0.6,220.0,5.725190639,5.540791186382747,-0.184399452617253,-0.03220843885286961
1,Front,0.6,230.0,5.876591206,6.354454034907076,0.4778628289070763,0.08131632985108414
1,Front,0.6,240.0,6.557376862,6.2971618326153616,-0.26021502938463836,-0.03968279311390268
1,Front,0.6,250.0,6.224066734,6.0842972801875925,-0.13976945381240746,-0.022456291004865608
1,Front,0.6,260.0,5.736137867,5.904182232669919,0.16804436566991932,0.029295733395230703
1,Front,0.6,270.0,5.791505814,6.073818399428369,0.282312585428369,0.04874597289463569
1,Front,0.6,280.0,5.982053757,5.8961037967755665,-0.08594996022443357,-0.01436796854656443
1,Front,0.6,290.0,6.191950321,6.139605813250454,-0.05234450774954613,-0.00845363819732528
1,Front,0.6,300.0,6.179196835,5.849751099801775,-0.32944573519822473,-0.053315300352982646
2,Front,0.6,0.0,9.146341324,8.40078410193521,-0.7455572220647895,-0.0815142575215783
2,Front,0.6,10.0,9.042953491,8.901424880081096,-0.141528610918904,-0.015650706493156287
2,Front,0.6,20.0,9.036144257,8.483315168099114,-0.5528290889008858,-0.06117975468050186
2,Front,0.6,30.0,9.237874985,8.14352502734456,-1.0943499576554387,-0.11846338681053702
2,Front,0.6,40.0,9.22367382,3.4291414879930033,-5.794532332006996,-0.6282238991845656
2,Front,0.6,50.0,8.961912155,5.729025835496607,-3.2328863195033932,-0.36073622052852994
2,Front,0.6,60.0,9.280742645,8.484637612388207,-0.7961050326117931,-0.08578031554842162
2,Front,0.6,70.0,8.888889313,8.786321283655589,-0.10256802934441112,-0.011538902750696352
2,Front,0.6,80.0,8.975317955,9.119872368407723,0.14455441340772346,0.016105770751797668
2,Front,0.6,90.0,8.830021858,8.985947640059662,0.15592578205966134,0.017658595252331405
2,Front,0.6,100.0,9.056603432,9.082753721589107,0.0261502895891077,0.0028874279177014653
2,Front,0.6,110.0,9.338521004,9.166677842530044,-0.17184316146995648,-0.01840153932259191
2,Front,0.6,120.0,9.174312592,8.964535288739288,-0.20977730326071153,-0.0228657243970123
2,Front,0.6,130.0,8.908685684,8.970064941606841,0.061379257606841264,0.006889821886642428
2,Front,0.6,140.0,9.07029438,8.886323032928843,-0.18397134707115725,-0.02028284191931125
2,Front,0.6,150.0,8.961912155,9.25664363812466,0.294731483124659,0.0328871202961104
2,Front,0.6,160.0,9.273570061,8.828352321555085,-0.4452177394449137,-0.04800931426800527
2,Front,0.6,170.0,9.042953491,8.918401945829697,-0.12455154517030387,-0.013773325860214122
2,Front,0.6,180.0,9.188361168,9.074436202372919,-0.11392496562708132,-0.012398834084128518
2,Front,0.6,190.0,9.561753273,9.149864948493896,-0.4118883245061049,-0.04307665265419204
2,Front,0.6,200.0,9.174312592,8.79833746964349,-0.3759751223565093,-0.040981285364568854
2,Front,0.6,210.0,9.04977417,9.186819645679003,0.13704547567900427,0.01514352436918371
2,Front,0.6,220.0,9.195402145,8.999095168669653,-0.19630697633034622,-0.021348384033110304
2,Front,0.6,230.0,9.111617088,9.323308968497809,0.21169188049780985,0.023233184455985104
2,Front,0.6,240.0,9.111617088,8.592350840060167,-0.5192662479398322,-0.05698947211288169
2,Front,0.6,250.0,8.948545456,9.041633252711504,0.09308779671150447,0.010402561753663452
2,Front,0.6,260.0,9.309542656,9.226105154022372,-0.08343750197762745,-0.008962577976250207
2,Front,0.6,270.0,9.063444138,9.066439603903119,0.0029954659031190545,0.0003304997369112769
2,Front,0.6,280.0,9.202453613,9.099236074084715,-0.10321753891528473,-0.011216306352196413
2,Front,0.6,290.0,9.063444138,8.274507743637967,-0.7889363943620324,-0.08704598189713392
2,Front,0.6,300.0,9.188361168,9.260322626773243,0.07196145877324334,0.007831805635139933
3,Front,0.6,0.0,12.11631584,8.295162556479012,-3.8211532835209887,-0.31537253848286845
3,Front,0.6,10.0,12.58741283,11.649567166811666,-0.9378456631883338,-0.07450662625072049
3,Front,0.6,20.0,12.62272072,8.318081610002283,-4.3046391099977175,-0.34102308095728173
3,Front,0.6,30.0,12.53481865,12.031273874816485,-0.5035447751835154,-0.04017168410996639
3,Front,0.6,40.0,12.5,11.977212760380992,-0.5227872396190083,-0.041822979169520665
3,Front,0.6,50.0,12.51738548,11.979432111487542,-0.5379533685124578,-0.042976496119895624
3,Front,0.6,60.0,13.82488441,11.951567861724024,-1.8733165482759748,-0.13550323407557335
3,Front,0.6,70.0,12.55230141,11.743580458726003,-0.8087209512739975,-0.06442810165709664
3,Front,0.6,80.0,12.33552647,11.764537078927539,-0.5709893910724606,-0.046288206057609846
3,Front,0.6,90.0,12.55230141,12.135343472535194,-0.41695793746480625,-0.033217648608455955
3,Front,0.6,100.0,12.52609634,11.509037297343019,-1.0170590426569817,-0.08119521158472758
3,Front,0.6,110.0,12.55230141,12.08197612910579,-0.47032528089421,-0.03746924691590958
3,Front,0.6,120.0,12.43093872,11.87040135077988,-0.5605373692201212,-0.04509211909461663
3,Front,0.6,130.0,12.46537399,11.831718660862366,-0.6336553291376337,-0.05083323850900631
3,Front,0.6,140.0,12.52609634,12.06687087267681,-0.4592254673231899,-0.03666149891061671
3,Front,0.6,150.0,12.52609634,11.939604792066923,-0.5864915479330772,-0.04682157409728793
3,Front,0.6,160.0,12.53481865,11.794086285776539,-0.7407323642234616,-0.05909398332009068
3,Front,0.6,170.0,12.44813251,11.91211587984824,-0.5360166301517602,-0.04306000355644994
3,Front,0.6,180.0,12.26158047,11.997919845247278,-0.26366062475272223,-0.021502988574581546
3,Front,0.6,190.0,12.48266315,11.82703747680555,-0.6556256731944501,-0.05252290038720223
3,Front,0.6,200.0,12.5,11.928465991896825,-0.5715340081031748,-0.04572272064825398
3,Front,0.6,210.0,11.94267559,11.8129800848047,-0.1296955051953006,-0.010859836576646104
