Height,Position,Distance (m),Time,bpm,sensor-bpm,deviation,percent-error
1,Front,0.6,0.0,12.66713619,14.068258463988668,1.4011222739886673,0.1106108162865396
1,Front,0.6,10.0,9.646302223,6.970575534019348,-2.6757266889806512,-0.27738366755717303
1,Front,0.6,20.0,4.137931347,10.706712961664095,6.568781614664095,1.5874554369845844
1,Front,0.6,30.0,5.671077251,13.06211482920512,7.39103757820512,1.303286351266302
1,Front,0.6,40.0,9.090909004,12.40854131253531,3.317632308535309,0.3649395574277062
1,Front,0.6,50.0,6.875477314,13.735019438981112,6.859542124981112,0.9976823152355633
1,Front,0.6,60.0,12.33552647,14.621227566084901,2.2857010960849014,0.1852941665395252
1,Front,0.6,70.0,12.57334423,14.052930178630687,1.479585948630687,0.11767640506496234
1,Front,0.6,80.0,9.127789497,14.68534972057237,5.55756022357237,0.6088615677869165
1,Front,0.6,90.0,8.144796371,15.227115921731267,7.082319550731267,0.8695514569214104
1,Front,0.6,100.0,7.525083542,10.13190439905232,2.6068208570523206,0.34641753045036433
1,Front,0.6,110.0,13.148283,14.883941147277424,1.7356581472774248,0.1320064488479161
1,Front,0.6,120.0,14.2857151,18.705150538067198,4.419435438067197,0.3093604630311574
1,Front,0.6,130.0,2.775208235,16.106097644996325,13.330889409996324,4.803563654024803
1,Front,0.6,140.0,3.891050577,13.914813356563377,10.023762779563377,2.576107038755507
1,Front,0.6,150.0,4.796163082,14.405529380397647,9.609366298397648,2.003552868012683
1,Front,0.6,160.0,13.21585941,7.9666785325999845,-5.249180877400016,-0.3971880083279439
1,Front,0.6,170.0,13.63636398,4.866499546023181,-8.76986443397682,-0.6431233756182577
1,Front,0.6,180.0,14.8725214,13.917930168052946,-0.9545912319470542,-0.06418489550447405
1,Front,0.6,190.0,14.29706097,14.913506342206064,0.6164453722060639,0.043116929661247985
1,Front,0.6,200.0,13.37295723,15.391643420223984,2.018686190223983,0.15095286371629132
1,Front,0.6,210.0,14.36388493,15.571375644503812,1.2074907145038125,0.08406435448267077
1,Front,0.6,220.0,14.88833714,18.235608655276938,3.347271515276937,0.22482507507731897
1,Front,0.6,230.0,15.73033714,17.673838641433857,1.9435015014338575,0.1235511663950171
1,Front,0.6,240.0,16.01067352,18.88998175947202,2.8793082394720173,0.1798367967390804
1,Front,0.6,250.0,16.68984604,18.79234976634401,2.102503726344011,0.12597502225634738
1,Front,0.6,260.0,16.93548393,20.9356725451101,4.000188615110101,0.23620161264031272
1,Front,0.6,270.0,14.07506657,18.08332611878555,4.008259548785549,0.2847773066543691
1,Front,0.6,280.0,7.109004974,13.525062329592293,6.416057355592293,0.902525371561555
1,Front,0.6,290.0,12.95896244,13.539590332011143,0.5806278920111421,0.044805121914616955
1,Front,0.6,300.0,0.0,16.610516568108707,16.610516568108707,inf
2,Front,0.6,0.0,11.45038128,12.824976144085824,1.3745948640858234,0.12004795565076794
2,Front,0.6,10.0,9.646302223,7.420382366441802,-2.225919856558197,-0.23075369246164218
2,Front,0.6,20.0,9.111617088,7.004231389542168,-2.107385698457831,-0.2312855860935221
2,Front,0.6,30.0,0.0,11.298375952535388,11.298375952535388,inf
2,Front,0.6,40.0,0.0,8.998697702717644,8.998697702717644,inf
2,Front,0.6,50.0,13.412817,5.285887137884981,-8.12692986211502,-0.6059077568951414
2,Front,0.6,60.0,13.93188858,7.538030726333068,-6.393857853666932,-0.4589369070066832
2,Front,0.6,70.0,14.13189697,15.07632120119365,0.9444242311936506,0.06682926101135102
2,Front,0.6,80.0,13.99688911,16.95337875336836,2.956489643368359,0.21122476717030725
2,Front,0.6,90.0,14.37699699,16.89163968313841,2.514642693138411,0.17490736729565184
2,Front,0.6,100.0,14.00933933,15.486276637746526,1.4769373077465264,0.10542519336252858
2,Front,0.6,110.0,13.89961338,16.78784980443004,2.8882364244300387,0.2077925727478068
2,Front,0.6,120.0,15.15151501,18.361845805133736,3.2103307951337356,0.21188183445780287
2,Front,0.6,130.0,15.6716423,18.08861448248561,2.41697218248561,0.15422583901660453
2,Front,0.6,140.0,15.44117641,18.012059499385806,2.5708830893858057,0.16649528644209083
2,Front,0.6,150.0,16.13987923,18.326198073161976,2.1863188431619776,0.13546066931518036
2,Front,0.6,160.0,15.45253849,18.514711309412085,3.062172819412085,0.19816632855460922
2,Front,0.6,170.0,15.02504158,16.734453478511682,1.7094118985116822,0.11377085976168608
2,Front,0.6,180.0,15.05376339,17.525829376625442,2.4720659866254415,0.1642158125235049
2,Front,0.6,190.0,14.20678806,15.983116032349404,1.7763279723494048,0.12503374899712588
2,Front,0.6,200.0,13.23529339,13.82106462560967,0.5857712356096698,0.044258273568174356
2,Front,0.6,210.0,12.71186447,14.741606993421184,2.0297425234211843,0.15967307771502573
2,Front,0.6,220.0,13.71951199,15.778794748563373,2.0592827585633717,0.15009883442387456
2,Front,0.6,230.0,13.93188858,16.185115264270056,2.2532266842700555,0.16173160381893145
2,Front,0.6,240.0,14.66992664,9.047713282628083,-5.622213357371917,-0.3832475441316806
2,Front,0.6,250.0,13.71951199,8.062149247165607,-5.657362742834394,-0.4123588905318194
2,Front,0.6,260.0,15.08620739,14.689293099163383,-0.39691429083661767,-0.026309746417758722
2,Front,0.6,270.0,12.71186447,8.746397799089323,-3.9654666709106774,-0.3119500432268751
2,Front,0.6,280.0,7.246376514,5.3704286087665505,-1.8759479052334491,-0.25888082155393355
2,Front,0.6,290.0,8.689354897,7.740646492053955,-0.9487084049460446,-0.10918053367501265
2,Front,0.6,300.0,11.26126099,12.831323621244913,1.5700626312449124,0.13942156501293487
3,Front,0.6,0.0,13.19648075,5.920059366577533,-7.276421383422466,-0.5513910504830969
3,Front,0.6,10.0,0.0,3.2775397078087676,3.2775397078087676,inf
3,Front,0.6,20.0,0.0,6.890518781869646,6.890518781869646,inf
3,Front,0.6,30.0,0.0,16.086183637908572,16.086183637908572,inf
3,Front,0.6,40.0,0.0,18.002351257586753,18.002351257586753,inf
3,Front,0.6,50.0,0.0,10.80816763645038,10.80816763645038,inf
3,Front,0.6,60.0,13.83551121,15.23789828944559,1.4023870794455906,0.10136142121239267
3,Front,0.6,70.0,14.00933933,15.579383296414838,1.570043966414838,0.11207123544025384
3,Front,0.6,80.0,13.28413296,14.828539626764995,1.5444066667649938,0.11625950082066883
3,Front,0.6,90.0,12.93103504,14.477859999888429,1.5468249598884292,0.11962112507649884
3,Front,0.6,100.0,12.21995926,14.0882658759355,1.8683066159355004,0.15288975815583042
3,Front,0.6,110.0,12.44813251,11.912065406147455,-0.5360671038525453,-0.04306405827716765
3,Front,0.6,120.0,0.0,4.8307639203893915,4.8307639203893915,inf
3,Front,0.6,130.0,0.0,6.350025775893482,6.350025775893482,inf
3,Front,0.6,140.0,12.17038536,14.138590539577725,1.9682051795777262,0.16172085939419475
3,Front,0.6,150.0,0.0,14.904870890328006,14.904870890328006,inf
3,Front,0.6,160.0,12.0967741,10.787498107217363,-1.309275992782636,-0.10823348290703685
3,Front,0.6,170.0,10.98901081,5.907959712605066,-5.081051097394934,-0.4623756573950385
3,Front,0.6,180.0,11.60092831,9.525772525217372,-2.0751557847826287,-0.17887842501309523
3,Front,0.6,190.0,12.83880138,14.87762475552328,2.0388233755232807,0.15880169146469658
3,Front,0.6,200.0,13.0813961,14.930396509579921,1.8490004095799222,0.1413458009714974
3,Front,0.6,210.0,0.0,15.441453609452452,15.441453609452452,inf
3,Front,0.6,220.0,12.96829987,14.424125513685087,1.4558256436850883,0.11226033159927913
3,Front,0.6,230.0,13.0718956,14.786738521800384,1.7148429218003844,0.13118548175984396
3,Front,0.6,240.0,10.79136658,14.381851012857933,3.5904844328579326,0.3327182341773374
3,Front,0.6,250.0,10.04184055,14.338853352291244,4.297012802291244,0.42791087758222207
3,Front,0.6,260.0,0.0,16.193245013651012,16.193245013651012,inf
3,Front,0.6,270.0,0.0,16.815222780174736,16.815222780174736,inf
3,Front,0.6,280.0,0.0,16.95437067862307,16.95437067862307,inf
3,Front,0.6,290.0,14.65798092,17.021518191972977,2.3635372719729766,0.1612457598950795
3,Front,0.6,300.0,12.64933205,16.0575789327835,3.4082468827834997,0.2694408581663804
4,Front,0.6,0.0,10.4712038,5.742572875429856,-4.728630924570144,-0.45158427005022517
4,Front,0.6,10.0,4.975124359,4.588183644449314,-0.38694071455068535,-0.07777508392342186
4,Front,0.6,20.0,11.6279068,3.661591554838324,-7.966315245161676,-0.6851031214974715
4,Front,0.6,30.0,14.02961826,10.68753470710633,-3.342083552893669,-0.23821628578607307
4,Front,0.6,40.0,15.41850281,17.817827611776092,2.3993248017760926,0.15561334529964604
4,Front,0.6,50.0,16.05504608,9.154695615586542,-6.900350464413458,-0.42979325191780815
4,Front,0.6,60.0,14.65457058,18.810518269441683,4.155947689441684,0.2835939590828791
4,Front,0.6,70.0,15.94532967,18.01346816058438,2.0681384905843814,0.12970183328824092
4,Front,0.6,80.0,16.40464783,9.926349954070526,-6.4782978759294725,-0.3949062450510084
4,Front,0.6,90.0,16.81850052,4.734992381517576,-12.083508138482426,-0.7184652474882122
4,Front,0.6,100.0,15.8730154,11.520429292869009,-4.352586107130991,-0.27421293292079785
4,Front,0.6,110.0,14.0625,13.058661640031966,-1.003838359968034,-0.07138406115328243
4,Front,0.6,120.0,13.48314667,14.714257335868615,1.2311106658686146,0.09130737030457703
4,Front,0.6,130.0,14.53957939,4.169713687754047,-10.369865702245953,-0.713216347192142
4,Front,0.6,140.0,15.48672581,17.081083573764744,1.5943577637647444,0.1029499574878019
4,Front,0.6,150.0,15.57863522,7.219641201779339,-8.358994018220661,-0.5365677994365838
4,Front,0.6,160.0,15.22842598,16.430195744500196,1.2017697645001952,0.07891621669097774
4,Front,0.6,170.0,15.08620739,11.44851816477559,-3.6376892252244097,-0.24112682075653274
4,Front,0.6,180.0,15.31728745,6.308842157322884,-9.008445292677116,-0.5881227548992114
4,Front,0.6,190.0,15.32846642,13.310372758339204,-2.018093661660796,-0.13165659279702396
4,Front,0.6,200.0,14.86374855,6.724062367609428,-8.139686182390573,-0.5476200135524072
4,Front,0.6,210.0,12.40523815,4.765034151512045,-7.640203998487956,-0.6158853144216305
4,Front,0.6,220.0,11.22754478,5.531054564606476,-5.696490215393524,-0.5073674010671391
4,Front,0.6,230.0,12.2649231,8.403308944492315,-3.861614155507686,-0.31485025417792356
4,Front,0.6,240.0,13.16752052,5.64872187541602,-7.51879864458398,-0.5710109684783677
4,Front,0.6,250.0,14.60361576,10.0545969863316,-4.549018773668401,-0.3114994839927506
4,Front,0.6,260.0,13.52366638,12.040361569959297,-1.4833048100407034,-0.10968215041405831
4,Front,0.6,270.0,12.93103504,13.413224739791573,0.482189699791574,0.037289335176959974
4,Front,0.6,280.0,12.00800514,13.232908354074905,1.2249032140749048,0.10200721933359405
4,Front,0.6,290.0,12.00800514,13.355256939296677,1.3472517992966768,0.1121961377921826
4,Front,0.6,300.0,12.00800514,14.028359527511311,2.0203543875113112,0.16825062647427474
