"","time","breathingBeltRespiration","sensorRespiration"
"1",0,9.9,9.72297485218532
"2",10,9.8,9.87003610324305
"3",20,8.2,10.7937181162938
"4",30,6.3,8.05663721466247
"5",40,5.5,8.59755326519667
"6",50,6,8.79692241552772
"7",60,5.9,7.24564160467127
"8",70,5.8,7.70702030875896
"9",100,10,8.71766663306165
"10",110,6,9.38798844339981
"11",120,2.6,9.08279951621573
"12",130,10.5,10.0820408020488
"13",140,7.9,9.72907884364774
"14",150,7.2,8.4134161294539
"15",160,8.2,8.24782664960146
"16",170,8,9.17778148276648
"17",180,7.2,8.72313153098341
"18",190,7,8.82036458383419
"19",200,6,6.69695309416891
"20",210,3.1,8.38495044415437
"21",220,3.1,8.94522814510731
"22",230,3.1,9.85813084293348
"23",240,5.4,9.70882628805676
"24",250,9.6,9.50200319036641
"25",260,10.4,8.4692902303857
"26",270,8.3,8.93216182643377
"27",280,6.9,7.99391744054139
"28",290,7.2,8.27714923110023
"29",300,7.5,8.32133334133002
