"","height","position","breathingBeltRespiration","sensorRespiration","percentError","deviation"
"1",1,"Front",15.4,4.8082607984262,-0.687775272829467,10.5917392015738
"2",1,"Front",13.3,4.49165490155816,-0.662281586349011,8.80834509844184
"3",1,"Front",13.1,4.72187542513803,-0.639551494264272,8.37812457486196
"4",1,"Front",14.4,5.11035575383988,-0.645114183761119,9.28964424616012
"5",1,"Front",13.6,4.11365731820335,-0.69752519719093,9.48634268179665
"6",1,"Front",13.8,4.70315821705894,-0.659191433546453,9.09684178294106
"7",1,"Front",8.8,4.75258785806168,-0.459933197947536,4.04741214193832
"8",1,"Front",11.2,4.40828524768764,-0.606403102885032,6.79171475231236
"9",1,"Front",12.2,4.33713115624199,-0.644497446209673,7.86286884375801
"10",1,"Front",11.1,4.87985015885273,-0.560373859562817,6.22014984114726
"11",1,"Front",13.9,6.07495896699123,-0.562952592302789,7.82504103300877
"12",1,"Front",13.6,6.39554643401036,-0.529739232793356,7.20445356598964
"13",1,"Front",13.3,5.07656819905919,-0.618303142927881,8.22343180094081
"14",1,"Front",13.6,4.84666557098426,-0.643627531545275,8.75333442901574
"15",1,"Front",12.9,5.04631862953189,-0.608812509338613,7.85368137046811
"16",1,"Front",12.1,5.22336257915432,-0.568317142218651,6.87663742084568
"17",1,"Front",13.1,5.18921694755233,-0.603876568889135,7.91078305244767
"18",1,"Front",9.7,3.97135986053459,-0.590581457676847,5.72864013946541
"19",1,"Front",7.4,2.66190269104326,-0.640283420129289,4.73809730895674
"20",1,"Front",2.4,3.29377036978648,0.372404320744365,-0.893770369786477
"21",1,"Front",12.3,3.46815823935677,-0.718035915499449,8.83184176064323
"22",1,"Front",9.4,3.58097457346323,-0.61904525814221,5.81902542653677
"23",1,"Front",12.1,4.00820658475052,-0.668743257458635,8.09179341524948
"24",1,"Front",5.3,5.73746922897192,0.0825413639569653,-0.437469228971916
"25",1,"Front",8.8,7.98831365501177,-0.0922370846577535,0.811686344988231
"26",1,"Front",12.5,7.76341980130571,-0.378926415895543,4.73658019869429
"27",1,"Front",13.1,6.05732482253511,-0.537608792172893,7.04267517746489
"28",1,"Front",13.5,5.10369968163527,-0.621948171730721,8.39630031836473
"29",1,"Front",13.6,4.6140875610375,-0.660728855806066,8.9859124389625
"30",1,"Front",13.8,18.0975003056176,0.311413065624465,-4.29750030561762
"31",1,"Front",12.9,11.4152494111867,-0.115096944869245,1.48475058881326
"32",1,"Front",10.3181428909302,8.58428592962534,-0.168039634615736,1.73385696130486
"33",1,"Front",10.4620752334595,9.7817283162843,-0.0650298245800541,0.6803469171752
"34",1,"Front",9.99167346954346,10.7805610166567,0.0789544964132304,-0.788887547113239
"35",1,"Front",11.0456552505493,12.5665038058689,0.137687490766468,-1.5208485553196
"36",1,"Front",10.8381500244141,13.0071649857895,0.200127785322168,-2.1690149613754
"37",1,"Front",10.8205595016479,12.0971104557487,0.117974579217127,-1.2765509541008
"38",1,"Front",9.47119140625,11.3111460130417,0.194268548471898,-1.8399546067917
"39",1,"Front",9.08402729034424,9.84285217509299,0.0835339723775746,-0.75882488474875
"40",1,"Front",8.86699485778809,9.43107962722636,0.0636162283259724,-0.564084769438271
"41",1,"Front",8.96860980987549,3.58505510216939,-0.600266353630211,5.3835547077061
"42",1,"Front",8.91530513763428,8.24007625533472,-0.0757381684502538,0.675228882299558
"43",1,"Front",9.02934551239014,10.6619835138394,0.180814655858383,-1.63263800144926
"44",1,"Front",9.27357006072998,10.5980846610543,0.142826828465246,-1.32451460032432
"45",1,"Front",9.20951652526855,10.2310602826762,0.110922626025459,-1.02154375740765
"46",1,"Front",9.81193828582764,9.07842198503931,-0.0747575330602947,0.733516300788331
"47",1,"Front",9.80392169952393,10.9722439023456,0.119168863096734,-1.16832220282167
"48",1,"Front",9.63081836700439,10.8372833488415,0.125271283899457,-1.20646498183711
"49",1,"Front",9.63081836700439,10.9552202397668,0.137517064728359,-1.32440187276241
"50",1,"Front",9.62309551239014,11.3652181609767,0.181035576997392,-1.74212264858656
"51",1,"Front",9.74817180633545,11.5074368732734,0.180471282399289,-1.75926506693795
"52",1,"Front",9.45626449584961,10.7665896212582,0.138566886108537,-1.31032512540859
"53",1,"Front",9.09780120849609,10.029463869882,0.102405255955237,-0.931662661385909
"54",1,"Front",9.48616600036621,11.3538088260592,0.196880681364936,-1.86764282569299
"55",1,"Front",9.70088863372803,11.1098324485175,0.145238634107277,-1.40894381478947
"56",1,"Front",10.0066709518433,10.7962864564224,0.0789089107035789,-0.7896155045791
"57",1,"Front",9.32400989532471,11.4651763332763,0.229640086399439,-2.14116643795159
"58",1,"Front",9.72447395324707,10.8229391912658,0.112958833896814,-1.09846523801873
"59",1,"Front",10.1971454620361,11.6401447239993,0.141510118428287,-1.4429992619632
"60",1,"Front",10.51708984375,12.4545265296136,0.184217945710045,-1.9374366858636
"61",1,"Front",9.84413433074951,11.3683046653333,0.154830306390968,-1.52417033458379
"62",1,"Front",9.59232616424561,9.68439408060069,0.00959808025484502,-0.092067916355079
