"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)"
0,2.88189697265625,9.9009895324707031
0.10000000000000001,3.6356277465820312,
0.20000000000000001,4.5681991577148438,
0.29999999999999999,5.0051040649414062,
0.40000000000000002,5.6361923217773438,
0.5,6.4103546142578125,
0.59999999999999998,7.031219482421875,
0.69999999999999996,7.381256103515625,
0.80000000000000004,7.6112060546875,
0.90000000000000002,7.7057418823242188,
1,7.5677719116210938,
1.1000000000000001,7.3020477294921875,
1.2,7.1385269165039062,
1.3,7.0516586303710938,
1.3999999999999999,6.9060211181640625,
1.5,6.7169570922851562,
1.6000000000000001,6.5355453491210938,
1.7,6.323486328125,
1.8,6.08331298828125,
1.8999999999999999,5.8124847412109375,
2,5.4828872680664062,
2.1000000000000001,5.1481857299804688,
2.2000000000000002,4.8007049560546875,
2.2999999999999998,4.335693359375,
2.3999999999999999,3.8272476196289062,
2.5,3.4312210083007812,
2.6000000000000001,3.0709686279296875,
2.7000000000000002,2.7285995483398438,
2.7999999999999998,2.5012054443359375,
2.8999999999999999,2.3657913208007812,
3,2.266143798828125,
3.1000000000000001,2.1894912719726562,
3.2000000000000002,2.1486129760742188,
3.2999999999999998,2.1230621337890625,
3.3999999999999999,2.0949554443359375,
3.5,2.064300537109375,
3.6000000000000001,2.0208663940429688,
3.7000000000000002,1.9927597045898438,
3.7999999999999998,1.9876480102539062,
3.8999999999999999,1.990203857421875,
4,1.9927597045898438,
4.0999999999999996,1.9927597045898438,
4.2000000000000002,2.00042724609375,
4.2999999999999998,2.025970458984375,
4.4000000000000004,2.0745162963867188,
4.5,2.1051788330078125,
4.5999999999999996,2.1256179809570312,
4.7000000000000002,2.1613922119140625,
4.7999999999999998,2.1997146606445312,
4.9000000000000004,2.2508163452148438,
5,2.3070220947265625,
5.0999999999999996,2.3606796264648438,
5.2000000000000002,2.4219970703125,
5.2999999999999998,2.4756546020507812,
5.4000000000000004,2.524200439453125,
5.5,2.5574111938476562,
5.5999999999999996,2.73626708984375,
5.7000000000000002,3.1195144653320312,
5.7999999999999998,3.518096923828125,
5.9000000000000004,3.84002685546875,
6,4.1466217041015625,
6.0999999999999996,4.4864425659179688,
6.2000000000000002,4.8007049560546875,
6.2999999999999998,5.0459823608398438,
6.4000000000000004,5.2452774047851562,
6.5,5.3832473754882812,
6.5999999999999996,5.4879989624023438,
6.7000000000000002,5.6617355346679688,
6.7999999999999998,5.8789138793945312,
6.9000000000000004,5.9402313232421875,
7,5.761383056640625,
7.0999999999999996,5.3679122924804688,
7.2000000000000002,5.0613174438476562,
7.2999999999999998,4.9233474731445312,
7.4000000000000004,4.86968994140625,
7.5,4.8441390991210938,
7.5999999999999996,4.8466949462890625,
7.7000000000000002,4.851806640625,
7.7999999999999998,4.8748016357421875,
7.9000000000000004,4.9540023803710938,
8,5.0153274536132812,
8.0999999999999996,4.9591140747070312,
8.1999999999999993,4.8339157104492188,
8.3000000000000007,4.6831741333007812,
8.4000000000000004,4.5068817138671875,
8.5,4.3484725952148438,
8.5999999999999996,4.2028350830078125,
8.6999999999999993,4.0571975708007812,
8.8000000000000007,3.8706817626953125,
8.9000000000000004,3.6202926635742188,
9,3.3775711059570312,
9.0999999999999996,3.1833877563476562,
9.1999999999999993,3.001983642578125,
9.3000000000000007,2.8129119873046875,
9.4000000000000004,2.634063720703125,
9.5,2.51397705078125,
9.5999999999999996,2.4424362182617188,
9.6999999999999993,2.38623046875,
9.8000000000000007,2.322357177734375,
9.9000000000000004,2.2533721923828125,
10,2.2022705078125,9.8119382858276367
10.1,2.1588363647460938,
10.199999999999999,2.1332855224609375,
10.300000000000001,2.117950439453125,
10.4,2.0898513793945312,
10.5,2.0668563842773438,
10.6,2.0438613891601562,
10.699999999999999,2.00042724609375,
10.800000000000001,1.92633056640625,
10.9,1.8726730346679688,
11,1.8599014282226562,
11.1,1.8726730346679688,
11.199999999999999,1.8905563354492188,
11.300000000000001,1.898223876953125,
11.4,1.9135513305664062,
11.5,1.9365463256835938,
11.6,1.9672088623046875,
11.699999999999999,1.9825363159179688,
11.800000000000001,2.008087158203125,
11.9,2.0796279907226562,
12,2.2022705078125,
12.1,2.347900390625,
12.199999999999999,2.467987060546875,
12.300000000000001,2.5446395874023438,
12.4,2.6136245727539062,
12.5,2.6366195678710938,
12.6,2.5906295776367188,
12.699999999999999,2.4909820556640625,
12.800000000000001,2.38623046875,
12.9,2.3351287841796875,
13,2.3198013305664062,
13.1,2.3095779418945312,
13.199999999999999,2.3044662475585938,
13.300000000000001,2.2993621826171875,
13.4,2.301910400390625,
13.5,2.3146896362304688,
13.6,2.301910400390625,
13.699999999999999,2.25592041015625,
13.800000000000001,2.230377197265625,
13.9,2.2329254150390625,
14,2.2457046508789062,
14.1,2.2533721923828125,
14.199999999999999,2.25592041015625,
14.300000000000001,2.2584762573242188,
