"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)","Data Set 4:Time(s)","Data Set 4:Force(N)","Data Set 4:Respiration Rate(bpm)"
0,3.1961669921875,9.7932538986206055,0,2.874237060546875,6.6568045616149902,0,3.610076904296875,12.084591865539551,0,2.4271087646484375,11.55327320098877
0.10000000000000001,3.0862960815429688,,0.10000000000000001,2.892120361328125,,0.10000000000000001,3.6432876586914062,,0.10000000000000001,2.5012054443359375,
0.20000000000000001,2.9585494995117188,,0.20000000000000001,2.910003662109375,,0.20000000000000001,3.6254043579101562,,0.20000000000000001,2.6187362670898438,
0.29999999999999999,2.9687652587890625,,0.29999999999999999,2.9125595092773438,,0.29999999999999999,3.5385360717773438,,0.29999999999999999,2.7234878540039062,
0.40000000000000002,3.0147552490234375,,0.40000000000000002,2.927886962890625,,0.40000000000000002,3.4669952392578125,,0.40000000000000002,2.8614578247070312,
0.5,3.0479736328125,,0.5,2.95599365234375,,0.5,3.4031219482421875,,0.5,2.9968719482421875,
0.59999999999999998,3.0786361694335938,,0.59999999999999998,3.0224227905273438,,0.59999999999999998,3.3213577270507812,,0.59999999999999998,3.10418701171875,
0.69999999999999996,3.093963623046875,,0.69999999999999996,3.1450653076171875,,0.69999999999999996,3.2472610473632812,,0.69999999999999996,3.21405029296875,
0.80000000000000004,3.0888519287109375,,0.80000000000000004,3.3111419677734375,,0.80000000000000004,3.203826904296875,,0.80000000000000004,3.2983627319335938,
0.90000000000000002,3.0786361694335938,,0.90000000000000002,3.50787353515625,,0.90000000000000002,3.1731719970703125,,0.90000000000000002,3.2932510375976562,
1,3.0811920166015625,,1,3.6535110473632812,,1,3.17572021484375,,1,3.2677001953125,
1.1000000000000001,3.0990753173828125,,1.1000000000000001,3.719940185546875,,1.1000000000000001,3.2012710571289062,,1.1000000000000001,3.2804794311523438,
1.2,3.0965194702148438,,1.2,3.7812576293945312,,1.2,3.2242660522460938,,1.2,3.3111419677734375,
1.3,3.0735244750976562,,1.3,3.8272476196289062,,1.3,3.242156982421875,,1.3,3.32391357421875,
1.3999999999999999,3.0735244750976562,,1.3999999999999999,3.8144760131835938,,1.3999999999999999,3.2804794311523438,,1.3999999999999999,3.2983627319335938,
1.5,3.0965194702148438,,1.5,3.7429351806640625,,1.5,3.3060302734375,,1.5,3.2523727416992188,
1.6000000000000001,3.1169586181640625,,1.6000000000000001,3.6202926635742188,,1.6000000000000001,3.2906951904296875,,1.6000000000000001,3.2166061401367188,
1.7,3.17572021484375,,1.7,3.4925460815429688,,1.7,3.2728118896484375,,1.7,3.1782760620117188,
1.8,3.2906951904296875,,1.8,3.3647918701171875,,1.8,3.2651519775390625,,1.8,3.1246261596679688,
1.8999999999999999,3.3571319580078125,,1.8999999999999999,3.2242660522460938,,1.8999999999999999,3.260040283203125,,1.8999999999999999,3.0709686279296875,
2,3.3903427124023438,,2,3.0735244750976562,,2,3.2625961303710938,,2,3.0249786376953125,
2.1000000000000001,3.5002059936523438,,2.1000000000000001,2.9329986572265625,,2.1000000000000001,3.2677001953125,,2.1000000000000001,2.9764328002929688,
2.2000000000000002,3.5972976684570312,,,,,2.2000000000000002,3.277923583984375,,2.2000000000000002,2.9304428100585938,
2.2999999999999998,3.61773681640625,,,,,2.2999999999999998,3.28814697265625,,2.2999999999999998,2.892120361328125,
2.3999999999999999,3.6151809692382812,,,,,2.3999999999999999,3.2855911254882812,,2.3999999999999999,2.8563461303710938,
2.5,3.599853515625,,,,,2.5,3.2906951904296875,,2.5,2.8103561401367188,
2.6000000000000001,3.5436477661132812,,,,,2.6000000000000001,3.277923583984375,,2.6000000000000001,2.754150390625,
2.7000000000000002,3.4516677856445312,,,,,2.7000000000000002,3.24981689453125,,2.7000000000000002,2.6774978637695312,
2.7999999999999998,3.334136962890625,,,,,2.7999999999999998,3.2370452880859375,,2.7999999999999998,2.60595703125,
2.8999999999999999,3.2114944458007812,,,,,2.8999999999999999,3.2344894409179688,,2.8999999999999999,2.5471954345703125,
3,3.0990753173828125,,,,,3,3.2702560424804688,,3,2.4986495971679688,
3.1000000000000001,3.0173110961914062,,,,,3.1000000000000001,3.3213577270507812,,3.1000000000000001,2.4807662963867188,
3.2000000000000002,2.9687652587890625,,,,,3.2000000000000002,3.3647918701171875,,3.2000000000000002,2.4884262084960938,
3.2999999999999998,2.927886962890625,,,,,3.2999999999999998,3.4516677856445312,,3.2999999999999998,2.4884262084960938,
3.3999999999999999,2.8895645141601562,,,,,3.3999999999999999,3.5666427612304688,,3.3999999999999999,2.4756546020507812,
3.5,2.8563461303710938,,,,,3.5,3.61773681640625,,3.5,2.467987060546875,
,,,,,,3.6000000000000001,3.6228485107421875,,3.6000000000000001,2.4705429077148438,
,,,,,,3.7000000000000002,3.6509552001953125,,3.7000000000000002,2.4730987548828125,
,,,,,,3.7999999999999998,3.7046127319335938,,3.7999999999999998,2.4577713012695312,
,,,,,,3.8999999999999999,3.76593017578125,,3.8999999999999999,2.4296646118164062,
,,,,,,4,3.8068084716796875,,4,2.4194412231445312,
,,,,,,4.0999999999999996,3.8349151611328125,,4.0999999999999996,2.432220458984375,
,,,,,,4.2000000000000002,3.8732376098632812,,4.2000000000000002,2.4449920654296875,
,,,,,,4.2999999999999998,3.9243392944335938,,4.2999999999999998,2.4526596069335938,
