Timestamp,Breath Rate
62.6664674282074,23.64495193227019
62.6664674282074,23.64946932884537
62.667474031448364,23.653802940865955
62.667474031448364,23.657882669738463
62.66847252845764,23.661683509203737
62.66847252845764,23.66523255793906
62.66947340965271,23.66855694918863
62.66947340965271,23.671708953619422
62.67047309875488,23.674707194349654
62.67047309875488,23.67758188678518
62.6714723110199,23.680403501082658
62.6714723110199,23.683207459156822
62.67247128486633,23.686081476215527
62.67247128486633,23.689081058878614
62.67347311973572,23.69225610477328
62.67347311973572,23.695684402948743
62.67447233200073,23.699475701396203
62.67447233200073,23.703720735157617
62.67547130584717,23.708437145801064
68.34744024276733,23.71374066218336
68.34873795509338,23.719617889256302
68.34973096847534,23.725940275429068
68.35173296928406,23.732539266565773
68.3534345626831,23.73917006674844
68.3547911643982,23.745596337283715
68.35579133033752,23.751585534641137
68.35679268836975,23.75693720216103
68.35880017280579,23.76152801607975
68.35880017280579,23.765310399387836
68.36122584342957,23.768331764512403
68.362220287323,23.770665000509272
68.36322331428528,23.772312169964234
68.36522126197815,23.773286374812354
68.36622262001038,23.773873780857883
68.36722183227539,23.77423443937467
68.36823892593384,23.774465615861345
68.36922287940979,23.7746264081266
68.37030100822449,23.774761553601707
68.37321662902832,23.774842850187014
68.37321662902832,23.774855981450116
68.37421751022339,23.774813703142666
68.37522006034851,23.774770996438804
68.37621712684631,23.774816089939637
68.37721633911133,23.775043659136
68.37821674346924,23.775500462897774
68.37821674346924,23.776213728026104
68.3792176246643,23.777161309631598
68.3792176246643,23.77829162380974
68.38021659851074,23.77957605102502
68.38121724128723,23.780933965771407
68.38221621513367,23.782286029311535
68.38221621513367,23.7835841162585
68.38321590423584,23.784782669965477
68.38421607017517,23.785812192792445
68.38421607017517,23.786629504039045
68.38521599769592,23.787199577891098
68.38521599769592,23.787436356168914
68.38621616363525,23.787330732151702
68.38621616363525,23.7868771043479
68.38721704483032,23.786002281399917
68.38821601867676,23.78460381437081
68.38821601867676,23.782506417976556
68.38921689987183,23.77940159246264
74.02530908584595,23.775346861002895
74.02635598182678,23.770348216041665
74.02740550041199,23.764324939806414
74.028489112854,23.757392011720835
74.02957129478455,23.749651481469282
74.03173518180847,23.74125784879171
74.03273677825928,23.732512241268363
74.03373551368713,23.72362269909147
74.03473472595215,23.714722397192926
74.03574967384338,23.70624078776398
74.03710961341858,23.698495307564613
74.03812026977539,23.691558660897076
74.03911638259888,23.685409758825806
74.04011797904968,23.680156558085145
74.04111862182617,23.67587101580029
74.04211688041687,23.672488071066756
74.04311752319336,23.66978831696848
74.04311752319336,23.66786889675456
74.04411768913269,23.666420798562875
74.04511737823486,23.66522840164175
74.04511737823486,23.66423996104267
74.04611539840698,23.663090183371253
74.04711651802063,23.66175708280709
74.04711651802063,23.660112339199507
74.04811644554138,23.65827925879808
74.04911541938782,23.656187857065444
74.04911541938782,23.654089566943572
74.05011558532715,23.65170941800695
74.0511155128479,23.649388394700754
74.0511155128479,23.647028761450976
74.05212354660034,23.644581788249614
74.05311894416809,23.642029834290554
74.05612659454346,23.639120434837515
74.05712080001831,23.635824138358988
74.05811929702759,23.632154823413593
