"","time","breathingBeltRespiration","sensorRespiration"
"1",0,10.948905,6.1626569626282
"2",10,11.346444,3.20317473413733
"3",20,10.849909,4.44368834717294
"4",30,7.103394,3.69098371944464
"5",40,5.876591,5.65040354509835
"6",50,10.344828,5.42038681928178
"7",60,5.208333,4.51241646083948
"8",70,5.263158,4.20567343479174
"9",80,10.791367,8.44765079777363
"10",100,10.327023,4.78964255739167
"11",110,8.87574,4.64495813332899
"12",120,9.574468,5.74559832093995
"13",130,7.275667,6.16269819303497
"14",140,6.237006,7.14938101506115
"15",150,7.419621,4.41100203817795
"16",160,8.752735,7.93429864888884
"17",170,9.860312,7.862429896655
"18",180,9.056603,7.65793629864137
"19",190,9.523809,3.60083153486719
"20",200,9.070294,3.87910946956496
"21",210,9.353079,5.37789129275431
"22",220,9.188361,6.53624343025041
"23",230,9.724474,6.39984128375528
"24",240,9.779951,4.50172090520573
"25",250,9.027081,6.27365801295473
"26",260,7.607777,6.71340114048227
"27",270,8.05009,3.88101739067088
"28",280,7.275667,2.58919383732961
"29",290,5.444646,4.36308535207813
"30",300,4.155125,5.8332793853586
"31",310,4.43787,4.06520239726315
"32",320,4.360465,4.29148312353751
"33",330,5.037783,6.14087124123872
"34",340,7.425743,5.49734721418634
"35",350,8.522727,4.8803804377233
"36",360,8.108108,6.19482254336263
"37",370,7.839721,6.05206786023181
"38",380,7.929515,5.21349796650174
"39",390,7.058823,4.34367231907214
"40",400,6.891271,2.68120640698342
"41",410,7.29927,3.54665112926704
"42",420,7.2,5.6462135019289
"43",430,6.823351,5.20386274536953
"44",440,7.014809,3.72379471589779
"45",450,8.115419,5.60422480835089
"46",460,8.5796,5.92739253084721
"47",470,8.372093,6.39531326497271
"48",480,7.725322,6.87830418440938
"49",490,8.514664,5.16170127834163
"50",500,9.561753,2.95387976745864
"51",510,8.226691,4.57396928057644
"52",520,6.289309,4.47676360253593
"53",530,4.780877,3.39169734153446
"54",540,8.832189,6.92247321347732
"55",550,8.474576,5.47455136318383
"56",560,9.360374,7.64523053511385
"57",570,10.230179,3.85940801985773
"58",580,9.860312,3.08815428920805
"59",590,9.38233,6.24788121329239
"60",600,9.561753,3.69345481714207
