"","time","breathingBeltRespiration","sensorRespiration"
"1",0,10.948905,3.20317473413733
"2",10,11.346444,3.89822045792466
"3",20,10.849909,4.19978875604753
"4",30,7.103394,5.65040354509835
"5",40,5.876591,6.17360201838565
"6",50,10.344828,4.41740892586804
"7",60,5.208333,4.03614002206428
"8",70,5.263158,8.44765079777363
"9",90,11.594203,5.03324185077834
"10",100,10.327023,4.32948594106843
"11",110,8.87574,5.25614250690198
"12",120,9.574468,8.52394276980151
"13",130,7.275667,5.44078102428455
"14",140,6.237006,6.74482585253623
"15",150,7.419621,7.93429864888884
"16",170,9.860312,8.71770971605344
"17",180,9.056603,5.39849340766282
"18",190,9.523809,3.84362198631768
"19",200,9.070294,7.11393859574209
"20",210,9.353079,4.49956545359701
"21",220,9.188361,7.47731617925527
"22",230,9.724474,5.22464681078163
"23",240,9.779951,5.01171502960087
"24",250,9.027081,7.14145651762092
"25",260,7.607777,5.72408504493385
"26",270,8.05009,3.73858076170261
"27",280,7.275667,4.56210226437626
"28",290,5.444646,5.90630899178725
"29",300,4.155125,4.6614546632568
"30",310,4.43787,4.21233576363322
"31",320,4.360465,4.0470844866618
"32",330,5.037783,6.72352600737758
"33",340,7.425743,4.57326300082166
"34",350,8.522727,6.19482254336263
"35",360,8.108108,7.64835671111455
"36",370,7.839721,5.61437948339021
"37",380,7.929515,4.15032744580775
"38",390,7.058823,4.11987524541467
"39",400,6.891271,3.54665112926704
"40",410,7.29927,4.46013398411795
"41",420,7.2,5.90362308243534
"42",430,6.823351,4.30947846267133
"43",440,7.014809,5.58255017463742
"44",450,8.115419,5.95152847445736
"45",460,8.5796,7.34444186331115
"46",470,8.372093,6.28814923958713
"47",480,7.725322,5.16170127834163
"48",490,8.514664,3.03066838072115
"49",500,9.561753,3.72595428020672
"50",510,8.226691,4.56774446825152
"51",520,6.289309,4.32512362495127
"52",530,4.780877,3.56286855643658
"53",540,8.832189,6.97344837284101
"54",550,8.474576,6.80930189084325
"55",560,9.360374,4.1680890269325
"56",570,10.230179,2.5441623984535
"57",580,9.860312,4.86059291968369
"58",590,9.38233,3.66626824325684
"59",600,9.561753,3.86121475107829
