"","time","breathingBeltRespiration","sensorRespiration"
"1",10,11.346444,5.80174449573907
"2",20,10.849909,3.89822045792466
"3",30,7.103394,4.19978875604753
"4",40,5.876591,5.65040354509835
"5",50,10.344828,6.17360201838565
"6",60,5.208333,4.41740892586804
"7",70,5.263158,4.03614002206428
"8",80,10.791367,8.44765079777363
"9",100,10.327023,5.03324185077834
"10",110,8.87574,4.32948594106843
"11",120,9.574468,5.25614250690198
"12",130,7.275667,8.52394276980151
"13",140,6.237006,5.44078102428455
"14",150,7.419621,6.74482585253623
"15",160,8.752735,7.93429864888884
"16",180,9.056603,8.71770971605344
"17",190,9.523809,5.39849340766282
"18",200,9.070294,3.84362198631768
"19",210,9.353079,7.11393859574209
"20",220,9.188361,4.49956545359701
"21",230,9.724474,7.47731617925527
"22",240,9.779951,5.22464681078163
"23",250,9.027081,5.01171502960087
"24",260,7.607777,7.14145651762092
"25",270,8.05009,5.72408504493385
"26",280,7.275667,3.73858076170261
"27",290,5.444646,4.56210226437626
"28",300,4.155125,5.90630899178725
"29",310,4.43787,4.6614546632568
"30",320,4.360465,4.21233576363322
"31",330,5.037783,4.0470844866618
"32",340,7.425743,6.72352600737758
"33",350,8.522727,4.57326300082166
"34",360,8.108108,6.19482254336263
"35",370,7.839721,7.64835671111455
"36",380,7.929515,5.61437948339021
"37",390,7.058823,4.15032744580775
"38",400,6.891271,4.11987524541467
"39",410,7.29927,3.54665112926704
"40",420,7.2,4.46013398411795
"41",430,6.823351,5.90362308243534
"42",440,7.014809,4.30947846267133
"43",450,8.115419,5.58255017463742
"44",460,8.5796,5.95152847445736
"45",470,8.372093,7.34444186331115
"46",480,7.725322,6.28814923958713
"47",490,8.514664,5.16170127834163
"48",500,9.561753,3.03066838072115
"49",510,8.226691,3.72595428020672
"50",520,6.289309,4.56774446825152
"51",530,4.780877,4.32512362495127
"52",540,8.832189,3.56286855643658
"53",550,8.474576,6.97344837284101
"54",560,9.360374,6.80930189084325
"55",570,10.230179,4.1680890269325
"56",580,9.860312,2.5441623984535
"57",590,9.38233,4.86059291968369
"58",600,9.561753,3.66626824325684
