"Data Set 1:Time(s)","Data Set 1:Force(N)","Data Set 1:Respiration Rate(bpm)","Data Set 2:Time(s)","Data Set 2:Force(N)","Data Set 2:Respiration Rate(bpm)","Data Set 3:Time(s)","Data Set 3:Force(N)","Data Set 3:Respiration Rate(bpm)"
,,,,,,14.199999999999999,4.6244125366210938,
,,,,,,14.300000000000001,4.68572998046875,
,,,,,,14.4,4.7419357299804688,
,,,,,,14.5,4.8007049560546875,
,,,,,,14.6,4.8543624877929688,
,,,,,,14.699999999999999,4.8466949462890625,
,,,,,,14.800000000000001,4.7623825073242188,
,,,,,,14.9,4.6422958374023438,
,,,,,,15,4.5145416259765625,
,,,,,,15.1,4.4021224975585938,
,,,,,,15.199999999999999,4.3050308227539062,
,,,,,,15.300000000000001,4.2232742309570312,
,,,,,,15.4,4.1415176391601562,
,,,,,,15.5,4.0418701171875,
,,,,,,15.6,3.9294509887695312,
,,,,,,15.699999999999999,3.829803466796875,
,,,,,,15.800000000000001,3.7429351806640625,
,,,,,,15.9,3.6381759643554688,
,,,,,,16,3.553863525390625,
,,,,,,16.100000000000001,3.5155410766601562,
,,,,,,16.199999999999999,3.479766845703125,
,,,,,,16.300000000000001,3.4465560913085938,
,,,,,,16.399999999999999,3.4184494018554688,
,,,,,,16.5,3.3954544067382812,
,,,,,,16.600000000000001,3.3750152587890625,
,,,,,,16.699999999999999,3.35968017578125,
,,,,,,16.800000000000001,3.3571319580078125,
,,,,,,16.899999999999999,3.3264694213867188,
,,,,,,17,3.2804794311523438,
,,,,,,17.100000000000001,3.2523727416992188,
,,,,,,17.199999999999999,3.2396011352539062,
,,,,,,17.300000000000001,3.2396011352539062,
,,,,,,17.399999999999999,3.24981689453125,
,,,,,,17.5,3.2447052001953125,
,,,,,,17.600000000000001,3.2344894409179688,
,,,,,,17.699999999999999,3.2293777465820312,
,,,,,,17.800000000000001,3.2344894409179688,
,,,,,,17.899999999999999,3.2447052001953125,
,,,,,,18,3.24981689453125,
,,,,,,18.100000000000001,3.2625961303710938,
,,,,,,18.199999999999999,3.3494644165039062,
,,,,,,18.300000000000001,3.4848785400390625,
,,,,,,18.399999999999999,3.5921859741210938,
,,,,,,18.5,3.6790618896484375,
,,,,,,18.600000000000001,3.7812576293945312,
,,,,,,18.699999999999999,3.886016845703125,
,,,,,,18.800000000000001,3.9728851318359375,
,,,,,,18.899999999999999,4.0571975708007812,
,,,,,,19,4.1517333984375,
,,,,,,19.100000000000001,4.2513809204101562,
,,,,,,19.199999999999999,4.345916748046875,
,,,,,,19.300000000000001,4.381683349609375,
,,,,,,19.399999999999999,4.3408050537109375,
,,,,,,19.5,4.2667083740234375,
,,,,,,19.600000000000001,4.1926116943359375,
,,,,,,19.699999999999999,4.1185226440429688,
,,,,,,19.800000000000001,4.0546417236328125,
,,,,,,19.899999999999999,3.9933242797851562,
,,,,,,20,3.9192276000976562,8.6642599105834961
,,,,,,20.100000000000001,3.8374710083007812,
,,,,,,20.199999999999999,3.755706787109375,
,,,,,,20.300000000000001,3.6790618896484375,
,,,,,,20.399999999999999,3.6049652099609375,
,,,,,,20.5,3.5410919189453125,
,,,,,,20.600000000000001,3.4772109985351562,
,,,,,,20.699999999999999,3.4210052490234375,
,,,,,,20.800000000000001,3.3826751708984375,
,,,,,,20.899999999999999,3.35968017578125,
,,,,,,21,3.3315811157226562,
,,,,,,21.100000000000001,3.2906951904296875,
,,,,,,21.199999999999999,3.2574844360351562,
,,,,,,21.300000000000001,3.2370452880859375,
,,,,,,21.399999999999999,3.221710205078125,
,,,,,,21.5,3.2063827514648438,
,,,,,,21.600000000000001,3.1936111450195312,
,,,,,,21.699999999999999,3.1808319091796875,
,,,,,,21.800000000000001,3.1655044555664062,
,,,,,,21.899999999999999,3.1578369140625,
,,,,,,22,3.1603927612304688,
,,,,,,22.100000000000001,3.150177001953125,
,,,,,,22.199999999999999,3.1195144653320312,
,,,,,,22.300000000000001,3.0990753173828125,
,,,,,,22.399999999999999,3.1016311645507812,
,,,,,,22.5,3.1144027709960938,
,,,,,,22.600000000000001,3.1195144653320312,
